int64_field_0,VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,RatecodeID,store_and_fwd_flag,PULocationID,DOLocationID,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount,congestion_surcharge
304,2.0,2019-01-01 00:16:21.000000 UTC,2019-01-01 00:44:48.000000 UTC,3.0,5.41,1.0,false,234,41,1.0,21.5,0.5,0.5,3.0,0.0,0.3,25.8,
305,1.0,2019-01-01 00:24:50.000000 UTC,2019-01-01 00:54:13.000000 UTC,1.0,5.3,1.0,false,144,236,1.0,21.5,0.5,0.5,4.55,0.0,0.3,27.35,
306,1.0,2019-01-01 00:59:41.000000 UTC,2019-01-01 01:10:23.000000 UTC,1.0,2.0,1.0,false,236,140,1.0,9.5,0.5,0.5,2.16,0.0,0.3,12.96,
307,1.0,2019-01-01 00:11:36.000000 UTC,2019-01-01 00:17:59.000000 UTC,1.0,1.1,1.0,false,237,236,1.0,6.5,0.5,0.5,2.3,0.0,0.3,10.1,
308,1.0,2019-01-01 00:34:41.000000 UTC,2019-01-01 00:47:12.000000 UTC,1.0,1.1,1.0,false,161,170,1.0,9.0,0.5,0.5,2.05,0.0,0.3,12.35,
309,1.0,2019-01-01 00:52:18.000000 UTC,2019-01-01 01:02:28.000000 UTC,1.0,1.4,1.0,false,234,161,2.0,8.5,0.5,0.5,0.0,0.0,0.3,9.8,
310,2.0,2019-01-01 00:18:38.000000 UTC,2019-01-01 00:23:21.000000 UTC,1.0,1.41,1.0,false,238,41,2.0,6.5,0.5,0.5,0.0,0.0,0.3,7.8,
311,2.0,2019-01-01 00:31:56.000000 UTC,2019-01-01 00:38:25.000000 UTC,1.0,1.58,1.0,false,166,238,1.0,7.5,0.5,0.5,1.76,0.0,0.3,10.56,
312,2.0,2019-01-01 00:40:33.000000 UTC,2019-01-01 00:47:48.000000 UTC,1.0,1.69,1.0,false,238,41,1.0,7.5,0.5,0.5,1.76,0.0,0.3,10.56,
313,2.0,2019-01-01 00:54:30.000000 UTC,2019-01-01 01:09:16.000000 UTC,1.0,4.73,1.0,false,151,243,2.0,16.0,0.5,0.5,0.0,0.0,0.3,17.3,
314,2.0,2019-01-01 00:19:21.000000 UTC,2019-01-01 00:40:33.000000 UTC,1.0,3.13,1.0,false,142,90,2.0,15.0,0.5,0.5,0.0,0.0,0.3,16.3,
315,2.0,2019-01-01 00:47:31.000000 UTC,2019-01-01 01:04:10.000000 UTC,1.0,2.07,1.0,false,90,79,2.0,12.0,0.5,0.5,0.0,0.0,0.3,13.3,
316,1.0,2019-01-01 00:15:58.000000 UTC,2019-01-01 00:28:01.000000 UTC,1.0,1.1,1.0,false,90,107,1.0,8.5,0.5,0.5,1.95,0.0,0.3,11.75,
317,1.0,2019-01-01 00:32:12.000000 UTC,2019-01-01 00:45:17.000000 UTC,2.0,0.9,1.0,false,170,186,1.0,9.0,0.5,0.5,2.05,0.0,0.3,12.35,
318,1.0,2019-01-01 00:47:28.000000 UTC,2019-01-01 01:03:24.000000 UTC,1.0,1.9,1.0,false,186,158,2.0,11.5,0.5,0.5,0.0,0.0,0.3,12.8,
319,2.0,2019-01-01 00:48:10.000000 UTC,2019-01-01 01:36:58.000000 UTC,1.0,31.57,1.0,false,138,138,2.0,82.5,0.5,0.5,0.0,0.0,0.3,83.8,
320,1.0,2019-01-01 00:07:13.000000 UTC,2019-01-01 00:13:17.000000 UTC,1.0,1.4,1.0,false,142,237,1.0,7.0,0.5,0.5,1.5,0.0,0.3,9.8,
321,1.0,2019-01-01 00:25:16.000000 UTC,2019-01-01 00:38:40.000000 UTC,2.0,2.6,1.0,false,142,233,1.0,11.0,0.5,0.5,3.05,0.0,0.3,15.35,
322,1.0,2019-01-01 00:40:44.000000 UTC,2019-01-01 00:49:00.000000 UTC,1.0,1.4,1.0,false,233,141,1.0,7.5,0.5,0.5,1.75,0.0,0.3,10.55,
323,1.0,2019-01-01 00:51:37.000000 UTC,2019-01-01 00:59:24.000000 UTC,3.0,1.4,1.0,false,141,162,2.0,7.5,0.5,0.5,0.0,0.0,0.3,8.8,
324,1.0,2019-01-01 00:00:03.000000 UTC,2019-01-01 00:04:26.000000 UTC,1.0,0.6,1.0,false,80,112,2.0,5.0,0.5,0.5,0.0,0.0,0.3,6.3,
325,1.0,2019-01-01 00:27:19.000000 UTC,2019-01-01 00:55:14.000000 UTC,1.0,6.5,1.0,true,189,33,2.0,24.0,0.5,0.5,0.0,0.0,0.3,25.3,
326,1.0,2019-01-01 00:56:26.000000 UTC,2019-01-01 01:37:50.000000 UTC,3.0,11.7,1.0,true,33,95,1.0,39.5,0.5,0.5,5.0,0.0,0.3,45.8,
327,1.0,2019-01-01 00:29:03.000000 UTC,2019-01-01 00:41:25.000000 UTC,1.0,2.5,1.0,false,74,151,2.0,11.0,0.5,0.5,0.0,0.0,0.3,12.3,
328,1.0,2019-01-01 00:50:58.000000 UTC,2019-01-01 01:02:42.000000 UTC,1.0,2.4,1.0,false,238,152,2.0,10.5,0.5,0.5,0.0,0.0,0.3,11.8,
329,2.0,2019-01-01 00:21:05.000000 UTC,2019-01-01 00:26:42.000000 UTC,4.0,0.79,1.0,false,237,229,2.0,5.5,0.5,0.5,0.0,0.0,0.3,6.8,
330,2.0,2019-01-01 00:40:48.000000 UTC,2019-01-01 00:50:57.000000 UTC,5.0,2.49,1.0,false,163,239,2.0,10.0,0.5,0.5,0.0,0.0,0.3,11.3,
